uid,score
367352.0,88.0
367353.0,92.0
367354.0,1.0
367356.0,81.0
367357.0,62.0
367358.0,94.0
367359.0,85.0
367362.0,79.0
367363.0,99.0
367366.0,78.0
367367.0,70.0
367370.0,90.0
367372.0,41.0
367373.0,84.0
367374.0,21.0
367376.0,63.0
367378.0,72.0
367381.0,91.0
367382.0,91.0
367384.0,77.0
367385.0,74.0
367386.0,13.0
367387.0,69.0
367389.0,11.0
367394.0,79.0
367395.0,78.0
367397.0,1.0
367400.0,92.0
367402.0,41.0
367404.0,19.0
367407.0,95.0
367409.0,90.0
367410.0,87.0
367414.0,15.0
367415.0,68.0
367417.0,74.0
367420.0,47.0
367422.0,98.0
367423.0,43.0
367425.0,14.0
367426.0,100.0
367427.0,47.0
367428.0,98.0
367429.0,13.0
367430.0,88.0
367432.0,69.0
367433.0,18.0
367434.0,64.0
367435.0,50.0
367436.0,14.0
367438.0,93.0
367440.0,100.0
367441.0,82.0
367442.0,94.0
367445.0,99.0
367449.0,91.0
367450.0,55.0
367454.0,88.0
367455.0,12.0
367456.0,19.0
367459.0,90.0
367460.0,76.0
367461.0,38.0
367462.0,78.0
367465.0,68.0
367466.0,70.0
367467.0,38.0
367468.0,98.0
367469.0,71.0
367470.0,76.0
367472.0,86.0
367473.0,86.0
367475.0,89.0
367476.0,96.0
367478.0,97.0
367482.0,48.0
367483.0,98.0
367484.0,97.0
367485.0,0.0
367488.0,39.0
367490.0,16.0
367491.0,21.0
367492.0,86.0
367496.0,50.0
367497.0,58.0
367498.0,83.0
367502.0,92.0
367503.0,95.0
367505.0,90.0
367506.0,56.0
367507.0,63.0
367508.0,81.0
367509.0,72.0
367510.0,15.0
367512.0,55.0
367513.0,87.0
367515.0,61.0
367516.0,45.0
367518.0,44.0
367520.0,64.0
367521.0,52.0
367522.0,7.0
367523.0,23.0
367524.0,84.0
367525.0,14.0
367526.0,50.0
367529.0,27.0
367532.0,87.0
367533.0,75.0
367536.0,40.0
367539.0,41.0
367542.0,97.0
367543.0,91.0
367544.0,0.0
367546.0,43.0
367549.0,82.0
367550.0,61.0
367552.0,66.0
367556.0,91.0
367557.0,81.0
367560.0,61.0
367562.0,19.0
367564.0,79.0
367566.0,41.0
367567.0,82.0
367569.0,93.0
367572.0,22.0
367573.0,88.0
367574.0,4.0
367575.0,40.0
367579.0,44.0
367580.0,90.0
367582.0,98.0
367583.0,33.0
367588.0,63.0
367589.0,80.0
367596.0,88.0
367598.0,34.0
367599.0,90.0
367600.0,35.0
367603.0,96.0
367604.0,12.0
367605.0,83.0
367606.0,4.0
367609.0,93.0
367610.0,33.0
367613.0,97.0
367617.0,44.0
367620.0,80.0
367622.0,47.0
367623.0,91.0
367625.0,94.0
367626.0,65.0
367628.0,81.0
367629.0,65.0
367630.0,81.0
367631.0,68.0
367634.0,78.0
367636.0,68.0
367641.0,45.0
367642.0,27.0
367643.0,92.0
367647.0,65.0
367648.0,67.0
367650.0,97.0
367651.0,36.0
367652.0,68.0
367654.0,71.0
367656.0,58.0
367658.0,79.0
367660.0,38.0
367661.0,97.0
367662.0,75.0
367663.0,86.0
367668.0,12.0
367669.0,12.0
367670.0,82.0
367671.0,33.0
367676.0,57.0
367677.0,46.0
367678.0,36.0
367681.0,74.0
367682.0,67.0
367683.0,71.0
367684.0,89.0
367685.0,28.0
367688.0,30.0
367691.0,45.0
367692.0,93.0
367694.0,38.0
367695.0,84.0
367696.0,8.0
367697.0,73.0
367698.0,79.0
367699.0,81.0
367705.0,3.0
367706.0,49.0
367707.0,56.0
367710.0,72.0
367712.0,9.0
367713.0,15.0
367716.0,14.0
367718.0,68.0
367721.0,85.0
367722.0,92.0
367723.0,82.0
367724.0,100.0
367725.0,66.0
367727.0,69.0
367729.0,65.0
367730.0,89.0
367739.0,99.0
367740.0,83.0
367741.0,100.0
367742.0,97.0
367743.0,5.0
367746.0,66.0
367749.0,70.0
367750.0,68.0
367754.0,60.0
367755.0,39.0
367756.0,63.0
367757.0,95.0
367760.0,30.0
367761.0,77.0
367762.0,81.0
367766.0,35.0
367768.0,77.0
367771.0,86.0
367772.0,36.0
367774.0,84.0
367775.0,71.0
367776.0,74.0
367780.0,62.0
367781.0,57.0
367783.0,100.0
367784.0,0.0
367786.0,83.0
367787.0,99.0
367789.0,21.0
367793.0,47.0
367794.0,77.0
367795.0,79.0
367797.0,93.0
367799.0,84.0
367802.0,98.0
367805.0,19.0
367806.0,11.0
367807.0,90.0
367808.0,89.0
367810.0,83.0
367811.0,75.0
367815.0,9.0
367817.0,58.0
367818.0,97.0
367819.0,89.0
367821.0,100.0
367822.0,99.0
367823.0,77.0
367826.0,44.0
367828.0,82.0
367829.0,85.0
367833.0,92.0
367834.0,80.0
367835.0,100.0
367837.0,93.0
367838.0,100.0
367840.0,99.0
367844.0,98.0
367845.0,82.0
367846.0,98.0
367847.0,99.0
367851.0,14.0
367852.0,91.0
367853.0,93.0
367854.0,88.0
367857.0,78.0
367858.0,85.0
367861.0,25.0
367862.0,91.0
367865.0,84.0
367866.0,97.0
367867.0,80.0
367872.0,92.0
367876.0,99.0
367878.0,96.0
367880.0,93.0
367882.0,89.0
367883.0,59.0
367884.0,61.0
367885.0,40.0
367886.0,81.0
367888.0,57.0
367892.0,95.0
367893.0,88.0
367894.0,82.0
367897.0,51.0
367898.0,89.0
367899.0,89.0
367900.0,70.0
367901.0,88.0
367903.0,56.0
367905.0,53.0
367906.0,59.0
367907.0,69.0
367909.0,92.0
367911.0,85.0
367914.0,68.0
367915.0,79.0
367916.0,40.0
367917.0,87.0
367918.0,18.0
367919.0,80.0
367920.0,19.0
367922.0,68.0
367923.0,90.0
367925.0,67.0
367926.0,77.0
367928.0,92.0
367932.0,89.0
367933.0,33.0
367935.0,84.0
367941.0,73.0
367944.0,97.0
367945.0,51.0
367950.0,61.0
367951.0,39.0
367953.0,94.0
367954.0,78.0
367955.0,89.0
367957.0,68.0
367962.0,93.0
367965.0,98.0
367966.0,86.0
367970.0,92.0
367971.0,96.0
367974.0,50.0
367975.0,95.0
367976.0,75.0
367978.0,81.0
367979.0,84.0
367981.0,99.0
367982.0,67.0
367985.0,96.0
367986.0,98.0
367987.0,41.0
367988.0,37.0
367989.0,8.0
367991.0,89.0
367992.0,95.0
367993.0,91.0
367995.0,74.0
367997.0,39.0
368002.0,90.0
368004.0,55.0
368008.0,99.0
368009.0,60.0
368010.0,45.0
368012.0,73.0
368013.0,92.0
368014.0,9.0
368015.0,99.0
368016.0,75.0
368021.0,76.0
368022.0,46.0
368023.0,63.0
368024.0,87.0
368025.0,93.0
368026.0,85.0
368030.0,95.0
368031.0,84.0
368033.0,64.0
368037.0,77.0
368038.0,79.0
368039.0,72.0
368040.0,97.0
368041.0,76.0
368044.0,74.0
368046.0,77.0
368052.0,78.0
368055.0,92.0
